detector,descriptor,imageId,ttcLidar,ttcCamera,absDiff
SHITOMASI,SIFT,4,16.689386,12.104647,4.584739
FAST,BRISK,5,15.908233,11.321173,4.58706
AKAZE,BRISK,7,11.984351,16.587469,4.603118
FAST,ORB,4,16.689386,12.053499,4.635887
FAST,BRIEF,4,16.689386,11.984611,4.704775
BRISK,BRISK,6,12.678716,17.564209,4.885493
HARRIS,BRISK,4,16.689386,11.75498,4.934406
BRISK,BRIEF,8,13.124118,18.108065,4.983947
ORB,SIFT,11,12.808601,7.787813,5.020788
BRISK,BRISK,18,8.398803,13.517884,5.119081
ORB,BRISK,4,16.689386,11.562654,5.126732
BRISK,FREAK,9,13.024118,18.18342,5.159302
ORB,ORB,8,13.124118,18.374328,5.25021
BRISK,FREAK,15,8.573525,13.836049,5.262525
ORB,BRIEF,12,8.95978,14.251972,5.292192
ORB,BRIEF,4,16.689386,11.144644,5.544741
ORB,BRISK,11,12.808601,7.245121,5.56348
ORB,BRISK,6,12.678716,7.040914,5.637802
SHITOMASI,BRIEF,7,11.984351,17.664193,5.679843
BRISK,ORB,5,15.908233,21.738879,5.830646
SIFT,FREAK,18,8.398803,14.235277,5.836474
ORB,FREAK,4,16.689386,10.849243,5.840143
BRISK,SIFT,18,8.398803,14.254258,5.855455
BRISK,ORB,14,9.59863,15.579754,5.981124
BRISK,BRIEF,4,16.689386,22.773347,6.083962
BRISK,SIFT,2,12.614245,18.780248,6.166003
ORB,ORB,16,9.51617,15.811292,6.295122
ORB,ORB,11,12.808601,19.226349,6.417748
BRISK,SIFT,6,12.678716,19.425573,6.746857
BRISK,ORB,2,12.614245,19.817204,7.202959
BRISK,ORB,6,12.678716,20.322778,7.644063
BRISK,BRISK,2,12.614245,20.425322,7.811077
BRISK,ORB,18,8.398803,16.435126,8.036323
ORB,BRISK,17,9.546581,18.706103,9.159522
ORB,BRIEF,18,8.398803,17.660432,9.261629
ORB,ORB,17,9.546581,20.171284,10.624703
ORB,SIFT,17,9.546581,20.171284,10.624703
BRISK,FREAK,2,12.614245,23.475445,10.8612
BRISK,BRISK,5,15.908233,26.953672,11.045439
ORB,BRISK,13,9.96439,21.563335,11.598945
ORB,SIFT,2,12.614245,24.787637,12.173392
BRISK,SIFT,5,15.908233,28.456934,12.548701
ORB,SIFT,18,8.398803,22.561165,14.162362
HARRIS,ORB,12,8.95978,23.907115,14.947334
ORB,ORB,18,8.398803,25.66778,17.268977
ORB,SIFT,14,9.59863,27.026928,17.428299
ORB,ORB,14,9.59863,28.909045,19.310416
HARRIS,ORB,15,8.573525,-11.521834,20.095359
ORB,BRISK,3,14.091013,35.139159,21.048146
ORB,BRISK,16,9.51617,30.637921,21.121751
ORB,BRISK,18,8.398803,29.889984,21.491181
ORB,BRISK,15,8.573525,33.350701,24.777177
HARRIS,ORB,3,14.091013,-11.473146,25.564158
HARRIS,SIFT,3,14.091013,-11.473146,25.564158
ORB,ORB,4,16.689386,43.255771,26.566385
ORB,BRIEF,5,15.908233,43.318257,27.410024
ORB,FREAK,9,13.024118,45.64966,32.625542
ORB,FREAK,5,15.908233,54.5098,38.601567
ORB,BRIEF,10,11.174641,63.546757,52.372115
ORB,BRIEF,9,13.024118,66.163542,53.139424
ORB,BRISK,5,15.908233,558.788741,542.880508
HARRIS,BRISK,10,11.174641,-inf,inf
HARRIS,BRISK,15,8.573525,-inf,inf
HARRIS,SIFT,18,8.398803,-inf,inf
ORB,BRIEF,8,13.124118,-inf,inf
ORB,BRISK,12,8.95978,-inf,inf
ORB,FREAK,6,12.678716,-inf,inf
ORB,ORB,1,12.5156,-inf,inf
ORB,ORB,6,12.678716,-inf,inf
ORB,ORB,7,11.984351,-inf,inf
ORB,ORB,9,13.024118,-inf,inf
ORB,ORB,12,8.95978,-inf,inf
ORB,ORB,15,8.573525,-inf,inf
ORB,SIFT,5,15.908233,-inf,inf
ORB,SIFT,6,12.678716,-inf,inf
ORB,SIFT,7,11.984351,-inf,inf
ORB,SIFT,9,13.024118,-inf,inf
ORB,SIFT,12,8.95978,-inf,inf
ORB,SIFT,15,8.573525,-inf,inf
HARRIS,BRIEF,3,14.091013,nan,nan
HARRIS,BRIEF,9,13.024118,nan,nan
HARRIS,BRIEF,11,12.808601,nan,nan
HARRIS,BRIEF,12,8.95978,nan,nan
HARRIS,BRIEF,14,9.59863,nan,nan
HARRIS,BRIEF,15,8.573525,nan,nan
HARRIS,BRIEF,18,8.398803,nan,nan
HARRIS,BRISK,1,12.5156,nan,nan
HARRIS,BRISK,3,14.091013,nan,nan
HARRIS,BRISK,6,12.678716,nan,nan
HARRIS,BRISK,9,13.024118,nan,nan
HARRIS,BRISK,12,8.95978,nan,nan
HARRIS,BRISK,17,9.546581,nan,nan
HARRIS,BRISK,18,8.398803,nan,nan
HARRIS,ORB,9,13.024118,nan,nan
HARRIS,ORB,10,11.174641,nan,nan
HARRIS,ORB,11,12.808601,nan,nan
HARRIS,ORB,17,9.546581,nan,nan
HARRIS,ORB,18,8.398803,nan,nan
HARRIS,SIFT,9,13.024118,nan,nan
HARRIS,SIFT,10,11.174641,nan,nan
HARRIS,SIFT,11,12.808601,nan,nan
HARRIS,SIFT,12,8.95978,nan,nan
HARRIS,SIFT,14,9.59863,nan,nan
HARRIS,SIFT,15,8.573525,nan,nan
HARRIS,SIFT,17,9.546581,nan,nan
ORB,BRIEF,6,12.678716,nan,nan
ORB,FREAK,7,11.984351,nan,nan
ORB,FREAK,8,13.124118,nan,nan
